"","Participant","OtherLangYN","Gender","Age","Education","Item","Rating","Scenario","Context","Content"
"1","R_1Igyztxqibfalll","No","Male",21,"Some college but no degree","BrotherNPNRAdj",63,"Brother","NPNR","Adj"
"2","R_3EHhBWpmUqcECek","No","Male",43,"Some college but no degree","BrotherNPNRAdj",11,"Brother","NPNR","Adj"
"3","R_2eVGOa9pJnTayqx","Yes","Male",34,"Bachelor's degree or equivalent","BrotherNPNRAdj",29,"Brother","NPNR","Adj"
"4","R_3rTyLoxPPIn5Co9","No","Male",29,"Bachelor's degree or equivalent","BrotherNPNRAdj",79,"Brother","NPNR","Adj"
"5","R_3Di5UsvzwSn402T","No","Male",30,"Bachelor's degree or equivalent","BrotherNPNRAdj",100,"Brother","NPNR","Adj"
"6","R_2fBsed1n7TP7vIm","No","Male",41,"High school degree","BrotherNPNRAdj",62,"Brother","NPNR","Adj"
"7","R_2Cmn39fD9JJ9Hc3","No","Female",37,"Some college but no degree","BrotherNPNRAdj",0,"Brother","NPNR","Adj"
"8","R_3fPD2wNlaRGcqKA","No","Female",27,"Bachelor's degree or equivalent","BrotherNPNRAdj",20,"Brother","NPNR","Adj"
"9","R_2cuy562cM8gKLE1","No","Female",60,"Bachelor's degree or equivalent","BrotherNPNRAdj",0,"Brother","NPNR","Adj"
"10","R_REJdmXJvdAUvycF","No","Female",28,"Bachelor's degree or equivalent","BrotherNPNRAdj",0,"Brother","NPNR","Adj"
"11","R_3CUzTlSewCAYsuJ","No","Male",27,"Bachelor's degree or equivalent","BrotherNPNRAdj",100,"Brother","NPNR","Adj"
"12","R_3M3GtvtEaWMomDm","No","Male",40,"Some college but no degree","BrotherNPNRAdj",0,"Brother","NPNR","Adj"
"13","R_BKyqAMTET6s537b","No","Female",38,"Bachelor's degree or equivalent","BrotherNPNRAdj",0,"Brother","NPNR","Adj"
"14","R_3qUuOdAID8ux1h1","No","Male",46,"Some college but no degree","BrotherNPNRAdj",0,"Brother","NPNR","Adj"
"15","R_3HB6mvLUuALQ8FY","Yes","Male",30,"High school degree","BrotherNPNRAdj",0,"Brother","NPNR","Adj"
"16","R_cwnm16XvkODdJyF","No","Male",23,"Bachelor's degree or equivalent","BrotherNPNRAdj",36,"Brother","NPNR","Adj"
"17","R_29t6qWUtpEBkAxE","No","Male",59,"Some college but no degree","BrotherNPNRAdj",0,"Brother","NPNR","Adj"
"18","R_1IcRp5F2vnr70SC","No","Female",46,"Bachelor's degree or equivalent","BrotherNPNRAdj",93,"Brother","NPNR","Adj"
"19","R_3KMY0lFnzS8zL1Y","No","Female",28,"High school degree","BrotherNPNRAdj",33,"Brother","NPNR","Adj"
"20","R_26l5jOJwRK5BtTb","No","Male",24,"High school degree","BrotherNPNRAdj",4,"Brother","NPNR","Adj"
"21","R_2VOs9Y9bAbXvKtJ","No","Male",56,"Bachelor's degree or equivalent","BrotherNPNRAdj",100,"Brother","NPNR","Adj"
"22","R_1nOVRAV3icHAOX4","No","Male",49,"Some college but no degree","BrotherNPNRAdj",3,"Brother","NPNR","Adj"
"23","R_3oU6bi4aklBq8rN","No","Male",26,"Master's degree or equivalent","BrotherNPNRAdj",24,"Brother","NPNR","Adj"
"24","R_26aoBEjMfFHXDsx","No","Male",30,"Bachelor's degree or equivalent","BrotherNPNRAdj",100,"Brother","NPNR","Adj"
"25","R_2xMjOYTLb0LsYDy","No","Male",51,"Some college but no degree","BrotherNPNRAdj",84,"Brother","NPNR","Adj"
"26","R_12fdUBsPbpZ6vTk","No","Female",26,"Bachelor's degree or equivalent","BrotherNPNRAdj",10,"Brother","NPNR","Adj"
"27","R_Q9TeAZyJAZPolbj","No","Female",46,"Some college but no degree","BrotherNPNRAdj",80,"Brother","NPNR","Adj"
"28","R_1Cxd3jFV4twoWEj","No","Male",42,"Bachelor's degree or equivalent","BrotherNPNRAdj",100,"Brother","NPNR","Adj"
"29","R_OIipHExw3Ao02rf","No","Male",27,"Master's degree or equivalent","BrotherNPNRAdj",0,"Brother","NPNR","Adj"
"30","R_1E6zspl52lRQ5BB","No","Male",38,"High school degree","BrotherNPNRAdj",100,"Brother","NPNR","Adj"
"31","R_2xEOvPK3E6hGXAY","Yes","Male",28,"Bachelor's degree or equivalent","BrotherNPNRAdj",6,"Brother","NPNR","Adj"
"32","R_pFpayjaHUphtBu1","No","Male",31,"Bachelor's degree or equivalent","BrotherNPNRAdj",0,"Brother","NPNR","Adj"
"33","R_eFhJhNWjVhCtLax","No","Female",32,"Bachelor's degree or equivalent","BrotherNPNRAdj",0,"Brother","NPNR","Adj"
"34","R_12Aqr4xS2Ghuwz6","No","Female",48,"Bachelor's degree or equivalent","BrotherNPNRAdj",98,"Brother","NPNR","Adj"
"35","R_31XEK3XAKpJwBh2","No","Male",61,"Bachelor's degree or equivalent","CarNPNRAdj",85,"Car","NPNR","Adj"
"36","R_SH6OFLHcLXmapmV","No","Male",30,"High school degree","CarNPNRAdj",89,"Car","NPNR","Adj"
"37","R_2SIfOE4GVBXLecK","No","Male",33,"Bachelor's degree or equivalent","CarNPNRAdj",1,"Car","NPNR","Adj"
"38","R_1Kj9g25GWagYDrZ","No","Male",56,"Some college but no degree","CarNPNRAdj",100,"Car","NPNR","Adj"
"39","R_XzFkuwNPgOuYThD","No","Male",37,"Bachelor's degree or equivalent","CarNPNRAdj",2,"Car","NPNR","Adj"
"40","R_1lttSGZ5LC59uHv","No","Male",71,"High school degree","CarNPNRAdj",99,"Car","NPNR","Adj"
"41","R_1lxBt1vgnNEWZt6","No","Male",34,"Some college but no degree","CarNPNRAdj",100,"Car","NPNR","Adj"
"42","R_1BVi1OhzGnyXblG","No","Male",35,"High school degree","CarNPNRAdj",0,"Car","NPNR","Adj"
"43","R_2fJnVG5DdCyWrx1","No","Male",32,"Some college but no degree","CarNPNRAdj",26,"Car","NPNR","Adj"
